source,RL,bin,num_sentences,mean_rate,pct,num_sentences_no_tanw,mean_rate_no_tanw,pct_no_tanw
1001,17.0,5/5,0,0.0,0.0,0,0.0,0.0
1001,18.0,0,0,0.0,0.0,1,0.0,100.0
1001,18.0,1/5,1,0.0152,100.0,0,0.0,0.0
1001,18.0,2/5,0,0.0,0.0,0,0.0,0.0
1001,18.0,3/5,0,0.0,0.0,0,0.0,0.0
1001,18.0,4/5,0,0.0,0.0,0,0.0,0.0
1001,18.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,1.0,0,1,0.0,100.0,1,0.0,100.0
ALC,1.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,1.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,1.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,1.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,1.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,3.0,0,3,0.0,100.0,3,0.0,100.0
ALC,3.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,3.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,3.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,3.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,3.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,4.0,0,7,0.0,100.0,7,0.0,100.0
ALC,4.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,4.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,4.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,4.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,4.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,5.0,0,6,0.0,100.0,6,0.0,100.0
ALC,5.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,5.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,5.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,5.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,5.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,6.0,0,14,0.0,100.0,14,0.0,100.0
ALC,6.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,6.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,6.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,6.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,6.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,7.0,0,24,0.0,85.71,27,0.0,96.43
ALC,7.0,1/5,4,0.0285,14.29,1,0.0303,3.57
ALC,7.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,7.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,7.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,7.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,8.0,0,95,0.0,78.51,113,0.0,93.39
ALC,8.0,1/5,26,0.0511,21.49,8,0.0583,6.61
ALC,8.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,8.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,8.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,8.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,9.0,0,31,0.0,81.58,35,0.0,92.11
ALC,9.0,1/5,7,0.0593,18.42,3,0.0792,7.89
ALC,9.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,9.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,9.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,9.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,10.0,0,130,0.0,65.99,172,0.0,87.31
ALC,10.0,1/5,67,0.0534,34.01,25,0.0721,12.69
ALC,10.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,10.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,10.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,10.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,11.0,0,32,0.0,80.0,35,0.0,87.5
ALC,11.0,1/5,8,0.0435,20.0,5,0.054,12.5
ALC,11.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,11.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,11.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,11.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,12.0,0,105,0.0,73.94,127,0.0,89.44
ALC,12.0,1/5,37,0.0379,26.06,15,0.0635,10.56
ALC,12.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,12.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,12.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,12.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,13.0,0,29,0.0,72.5,38,0.0,95.0
ALC,13.0,1/5,11,0.0199,27.5,2,0.0317,5.0
ALC,13.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,13.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,13.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,13.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,14.0,0,22,0.0,64.71,25,0.0,73.53
ALC,14.0,1/5,12,0.0276,35.29,9,0.0273,26.47
ALC,14.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,14.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,14.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,14.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,15.0,0,5,0.0,100.0,5,0.0,100.0
ALC,15.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,15.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,15.0,3/5,0,0.0,0.0,0,0.0,0.0
ALC,15.0,4/5,0,0.0,0.0,0,0.0,0.0
ALC,15.0,5/5,0,0.0,0.0,0,0.0,0.0
ALC,17.0,0,1,0.0,100.0,1,0.0,100.0
ALC,17.0,1/5,0,0.0,0.0,0,0.0,0.0
ALC,17.0,2/5,0,0.0,0.0,0,0.0,0.0
ALC,17.0,3/5,0,0.0,0.0,0,0.0,0.0
